,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer
3143,X2: Wolverine's Revenge,PS2,2003.0,Platform,Activision,0.31,0.24,0.21618316831682832,0.08,0.64,58.0,24.0,7.2,13.0,GenePool
3144,NBA Live 06,XB,2005.0,Sports,Electronic Arts,0.57,0.04,0.21618316831682832,0.03,0.64,79.0,30.0,6.4,15.0,EA Canada
3149,Rayman 3D,3DS,2011.0,Platform,Ubisoft,0.23,0.35,0.21618316831682832,0.06,0.64,61.0,39.0,6.6,48.0,Ubisoft Casablanca
3152,TimeSplitters 2,XB,2002.0,Shooter,Eidos Interactive,0.29,0.33,0.21618316831682832,0.01,0.64,88.0,20.0,7.7,34.0,Free Radical Design
3153,Onimusha: Dawn of Dreams,PS2,2006.0,Action,Capcom,0.15,0.12,0.34,0.04,0.64,81.0,45.0,8.9,62.0,Capcom
3154,Sengoku Basara: Samurai Heroes,PS3,2010.0,Action,Capcom,0.17,0.04,0.4,0.02,0.64,61.0,37.0,7.9,29.0,Capcom
3155,Stuntman: Ignition,X360,2007.0,Racing,THQ,0.25,0.31,0.21618316831682832,0.07,0.64,75.0,38.0,7.3,31.0,Paradigm Entertainment
3156,Real Heroes: Firefighter,Wii,2009.0,Action,Rondomedia,0.56,0.04,0.21618316831682832,0.05,0.64,67.0,18.0,8.2,10.0,Epicenter Studios
3157,Dishonored 2,PS4,2016.0,Action,Bethesda Softworks,0.22,0.32,0.21618316831682832,0.1,0.64,88.0,56.0,7.7,569.0,Arkane Studios
3158,Up,DS,2009.0,Action,THQ,0.3,0.27,0.21618316831682832,0.07,0.64,70.84898545519842,30.43616448195367,7.212795600366628,188.21136571952337,Altron
3160,Konami Collector's Series: Arcade Advanced,GBA,2002.0,Misc,Konami Digital Entertainment,0.46,0.17,0.21618316831682832,0.01,0.64,78.0,10.0,7.212795600366628,188.21136571952337,KCEA
3161,The Crew,XOne,2014.0,Racing,Ubisoft,0.25,0.34,0.21618316831682832,0.05,0.64,64.0,18.0,5.9,176.0,"Ubisoft Reflections, Ivory Tower"
3162,Dragon Ball: Raging Blast 2,X360,2010.0,Fighting,Namco Bandai Games,0.49,0.09,0.01,0.05,0.64,57.0,33.0,7.4,30.0,Spike
3166,NHL 13,PS3,2012.0,Sports,Electronic Arts,0.33,0.21,0.21618316831682832,0.09,0.64,84.0,22.0,6.8,60.0,Electronic Arts
3167,Dead or Alive 5,PS3,2012.0,Fighting,Tecmo Koei,0.23,0.14,0.2,0.07,0.64,74.0,34.0,7.7,109.0,Team Ninja
3168,Evolve,XOne,2015.0,Shooter,Take-Two Interactive,0.37,0.2,0.21618316831682832,0.06,0.64,74.0,31.0,5.1,336.0,Turtle Rock Studios
3169,Lemony Snicket's A Series of Unfortunate Events,PS2,2004.0,Platform,Activision,0.31,0.24,0.21618316831682832,0.08,0.64,63.0,25.0,5.7,12.0,Adrenium
3170,Lost Planet: Extreme Condition,PS3,2008.0,Shooter,Capcom,0.31,0.17,0.07,0.08,0.64,67.0,34.0,7.0,36.0,Capcom
3171,X-Men Legends II: Rise of Apocalypse,PS2,2005.0,Role-Playing,Activision,0.53,0.02,0.21618316831682832,0.09,0.63,82.0,44.0,7.3,41.0,Raven Software
3173,LittleBigPlanet 3,PS3,2014.0,Platform,Sony Computer Entertainment,0.2,0.33,0.01,0.1,0.63,70.84898545519842,30.43616448195367,7.2,64.0,Sumo Digital
3174,SingStar Queen,PS2,2009.0,Misc,Sony Computer Entertainment,0.08,0.12,0.21618316831682832,0.44,0.63,73.0,9.0,7.212795600366628,188.21136571952337,SCEE London Studio
3175,LEGO Star Wars II: The Original Trilogy,X360,2006.0,Action,LucasArts,0.55,0.03,0.21618316831682832,0.05,0.63,81.0,50.0,8.0,45.0,Traveller's Tales
3176,Disney Sing It: Party Hits,Wii,2010.0,Misc,Disney Interactive Studios,0.48,0.1,0.21618316831682832,0.04,0.63,70.84898545519842,30.43616448195367,7.212795600366628,188.21136571952337,Disney Interactive Studios
3178,Rock Band 3,Wii,2010.0,Misc,MTV Games,0.53,0.06,0.21618316831682832,0.04,0.63,91.0,10.0,6.9,36.0,Backbone Entertainment
3179,Dragon Age II,PC,2011.0,Action,Electronic Arts,0.23,0.33,0.21618316831682832,0.08,0.63,82.0,45.0,4.5,4533.0,BioWare
3180,Tony Hawk's Pro Skater 2x,XB,2001.0,Sports,Activision,0.41,0.19,0.21618316831682832,0.03,0.63,78.0,24.0,8.8,5.0,Treyarch
3181,NBA Live 08,PS3,2007.0,Sports,Electronic Arts,0.56,0.02,0.01,0.05,0.63,73.0,28.0,6.8,10.0,EA Canada
3183,FIFA Soccer 2003,XB,2002.0,Sports,Electronic Arts,0.2,0.4,0.21618316831682832,0.04,0.63,88.0,11.0,7.7,11.0,EA Canada
3185,The Lord of the Rings: Conquest,X360,2009.0,Action,Electronic Arts,0.37,0.2,0.21618316831682832,0.06,0.63,55.0,58.0,7.0,110.0,Pandemic Studios
3186,Far Cry 4,PC,2014.0,Shooter,Ubisoft,0.15,0.44,0.21618316831682832,0.04,0.63,80.0,17.0,6.7,1064.0,Ubisoft Montreal
3188,NASCAR 06: Total Team Control,PS2,2005.0,Racing,Electronic Arts,0.53,0.02,0.21618316831682832,0.09,0.63,78.0,18.0,7.7,18.0,EA Sports
3192,Iron Man,PSP,2008.0,Action,Sega,0.46,0.09,0.21618316831682832,0.09,0.63,44.0,7.0,6.5,16.0,Artificial Mind and Movement
3193,White Knight Chronicles II,PS3,2010.0,Role-Playing,Sony Computer Entertainment,0.23,0.09,0.27,0.04,0.63,60.0,45.0,7.1,64.0,Level 5
3195,Juiced 2: Hot Import Nights,X360,2007.0,Racing,THQ,0.22,0.34,0.21618316831682832,0.07,0.63,68.0,24.0,7.6,21.0,Juice Games
3196,Wolfenstein,PS3,2009.0,Shooter,Activision,0.25,0.27,0.21618316831682832,0.11,0.63,71.0,58.0,7.4,77.0,"id Software, Raven Software"
3197,The Walking Dead: Survival Instinct,X360,2013.0,Shooter,Activision,0.46,0.11,0.21618316831682832,0.05,0.63,32.0,30.0,4.0,410.0,Terminal Reality
3199,Ape Escape 2,PS2,2002.0,Platform,Sony Computer Entertainment,0.12,0.09,0.38,0.03,0.63,82.0,31.0,8.4,32.0,SCE Japan Studio
3202,Sega Rally Revo,PS3,2007.0,Racing,Sega,0.07,0.42,0.21618316831682832,0.14,0.63,75.0,40.0,7.0,20.0,SEGA Racing Studio
3203,Shin Megami Tensei: Persona 3 FES,PS2,2007.0,Role-Playing,Tecmo Koei,0.22,0.2,0.16,0.05,0.63,89.0,25.0,8.3,296.0,Atlus Co.
3204,FIFA Soccer 2002,PS2,2001.0,Sports,Electronic Arts,0.31,0.24,0.21618316831682832,0.08,0.63,82.0,17.0,5.8,28.0,EA Sports
3205,Angry Birds Trilogy,3DS,2012.0,Action,Activision,0.38,0.2,0.21618316831682832,0.05,0.63,62.0,7.0,4.6,20.0,Exient Entertainment
3207,Condemned 2: Bloodshot,X360,2008.0,Action,Sega,0.38,0.19,0.21618316831682832,0.06,0.63,80.0,76.0,8.4,178.0,Monolith Productions
3208,Okami,PS2,2006.0,Action,Capcom,0.11,0.03,0.15,0.34,0.63,93.0,69.0,9.3,327.0,Clover Studio
3209,Shin Megami Tensei: Persona 3 Portable,PSP,2009.0,Role-Playing,Ghostlight,0.18,0.06,0.34,0.05,0.63,89.0,40.0,8.3,317.0,Atlus
3210,Crash of the Titans,PSP,2007.0,Action,Vivendi Games,0.25,0.24,0.21618316831682832,0.14,0.63,70.84898545519842,30.43616448195367,7.1,24.0,SuperVillain Studios
3211,NHL 2001,PS,2000.0,Sports,Electronic Arts,0.35,0.24,0.21618316831682832,0.04,0.63,88.0,10.0,7.7,7.0,Page 44 Studios
3212,Crysis 3,PC,2013.0,Shooter,Electronic Arts,0.17,0.39,0.21618316831682832,0.07,0.63,76.0,47.0,6.5,1223.0,Crytek
3213,Buzz Lightyear of Star Command,PS,2000.0,Platform,Activision,0.35,0.24,0.21618316831682832,0.04,0.63,54.0,10.0,5.3,4.0,Traveller's Tales
3214,NHL 16,PS4,2015.0,Sports,Electronic Arts,0.36,0.16,0.21618316831682832,0.11,0.63,78.0,28.0,5.5,157.0,"EA Sports, EA Canada"
3215,Namco Museum,GC,2002.0,Misc,Namco Bandai Games,0.48,0.13,0.21618316831682832,0.02,0.63,62.0,10.0,7.212795600366628,188.21136571952337,Mass Media
3218,Tony Hawk's Project 8,PS3,2006.0,Sports,Activision,0.3,0.22,0.01,0.1,0.63,76.0,43.0,7.2,14.0,Neversoft Entertainment
3219,Ghostbusters: The Video Game,X360,2009.0,Action,Atari,0.43,0.14,0.21618316831682832,0.06,0.63,79.0,53.0,8.5,125.0,Terminal Reality
3220,XCOM: Enemy Unknown,X360,2012.0,Strategy,Take-Two Interactive,0.36,0.21,0.21618316831682832,0.05,0.62,90.0,35.0,8.3,366.0,Firaxis Games
3223,Metal Gear Solid 2: Substance,XB,2012.0,Action,Konami Digital Entertainment,0.38,0.22,0.21618316831682832,0.03,0.62,87.0,28.0,8.5,39.0,KCEJ
3224,Tony Hawk's American Wasteland,XB,2005.0,Sports,Activision,0.4,0.2,0.21618316831682832,0.03,0.62,77.0,40.0,7.7,15.0,Neversoft Entertainment
3226,Wild ARMs 3,PS2,2002.0,Role-Playing,Ubisoft,0.16,0.13,0.29,0.04,0.62,78.0,30.0,8.4,38.0,"Media Vision, Contrail"
3229,Madden NFL 07,GC,2006.0,Sports,Electronic Arts,0.48,0.13,0.21618316831682832,0.02,0.62,82.0,14.0,9.2,5.0,EA Tiburon
3230,LEGO Jurassic World,3DS,2015.0,Action,Warner Bros. Interactive Entertainment,0.31,0.23,0.03,0.05,0.62,70.84898545519842,30.43616448195367,7.2,11.0,TT Games
3232,Tiger Woods PGA Tour 2004,XB,2003.0,Sports,Electronic Arts,0.47,0.13,0.21618316831682832,0.02,0.62,89.0,18.0,8.2,14.0,EA Sports
3233,Test Drive Unlimited 2,PS3,2003.0,Racing,Atari,0.16,0.34,0.01,0.12,0.62,70.0,43.0,6.1,44.0,Eden
3234,Tak 2: The Staff of Dreams,PS2,2004.0,Platform,THQ,0.3,0.24,0.21618316831682832,0.08,0.62,71.0,31.0,8.0,10.0,Avalanche Software
3235,Just Dance 3,PS3,2011.0,Misc,Ubisoft,0.33,0.2,0.21618316831682832,0.09,0.62,75.0,5.0,6.0,7.0,Ubisoft
3236,LEGO Pirates of the Caribbean: The Video Game,3DS,2011.0,Action,Disney Interactive Studios,0.29,0.27,0.21618316831682832,0.06,0.62,71.0,16.0,7.3,20.0,Traveller's Tales
3237,Donkey Kong Barrel Blast,Wii,2007.0,Racing,Nintendo,0.19,0.26,0.11,0.06,0.62,46.0,34.0,6.8,26.0,Paon Corporation
3238,The Princess and the Frog,DS,2009.0,Platform,Disney Interactive Studios,0.41,0.16,0.21618316831682832,0.05,0.62,70.84898545519842,30.43616448195367,7.212795600366628,188.21136571952337,Griptonite Games
3240,Viewtiful Joe,GC,2003.0,Action,Capcom,0.38,0.1,0.12,0.02,0.62,93.0,52.0,8.3,115.0,Clover Studio
3241,The Urbz: Sims in the City,GBA,2004.0,Simulation,Electronic Arts,0.37,0.22,0.21618316831682832,0.03,0.62,72.0,6.0,9.2,25.0,Griptonite Games
3243,Guitar Hero: Metallica,PS3,2009.0,Misc,Activision,0.28,0.24,0.21618316831682832,0.1,0.62,86.0,44.0,8.0,48.0,Neversoft Entertainment
3244,Disney's 102 Dalmatians: Puppies to the Rescue,PS,2000.0,Platform,Eidos Interactive,0.34,0.23,0.21618316831682832,0.04,0.62,70.84898545519842,30.43616448195367,7.212795600366628,188.21136571952337,Toys for Bob
3245,Strike Force Bowling,PS2,2004.0,Sports,Play It,0.3,0.24,0.21618316831682832,0.08,0.62,48.0,14.0,6.8,4.0,Lab Rats Games
3247,Red Steel 2,Wii,2010.0,Shooter,Ubisoft,0.35,0.2,0.01,0.06,0.62,80.0,73.0,8.6,178.0,Ubisoft Paris
3249,XGRA: Extreme G-Racing Association,PS2,2004.0,Racing,Eidos Interactive,0.3,0.24,0.21618316831682832,0.08,0.62,68.0,23.0,8.6,8.0,Acclaim Studios Cheltenham
3250,Mafia III,XOne,2016.0,Action,Take-Two Interactive,0.28,0.29,0.21618316831682832,0.05,0.62,67.0,20.0,4.6,274.0,Hangar 13
3256,Prince of Persia: The Forgotten Sands,X360,2010.0,Action,Ubisoft,0.3,0.26,0.21618316831682832,0.06,0.62,74.0,69.0,7.8,112.0,Ubisoft Montreal
3257,Warriors Orochi 3,PS3,2011.0,Action,Ubisoft Annecy,0.45212126009183,0.04,0.57,0.01,0.62,70.0,17.0,7.9,35.0,Omega Force
3259,DJ Hero 2,Wii,2010.0,Misc,Activision,0.48,0.09,0.21618316831682832,0.04,0.62,88.0,20.0,7.5,17.0,FreeStyleGames
3264,Tiger Woods PGA Tour 12: The Masters,X360,2011.0,Sports,Electronic Arts,0.4,0.16,0.21618316831682832,0.05,0.62,80.0,50.0,6.1,25.0,Electronic Arts
3265,Battle of Giants: Dragons,DS,2009.0,Strategy,Ubisoft,0.3,0.25,0.21618316831682832,0.06,0.62,70.84898545519842,30.43616448195367,6.0,4.0,Ubisoft Quebec
3266,Wall-E,X360,2008.0,Platform,THQ,0.29,0.26,0.21618316831682832,0.07,0.62,50.0,32.0,6.3,6.0,Heavy Iron Studios
3269,Harry Potter and the Half-Blood Prince,DS,2009.0,Action,Electronic Arts,0.2,0.34,0.21618316831682832,0.07,0.61,48.0,9.0,4.3,7.0,EA Bright Light
3270,NieR,PS3,2010.0,Role-Playing,Square Enix,0.17,0.18,0.2,0.07,0.61,68.0,58.0,8.4,263.0,Cavia Inc.
3271,2014 FIFA World Cup Brazil,PS3,2014.0,Sports,Electronic Arts,0.15,0.36,0.01,0.09,0.61,73.0,33.0,4.3,87.0,EA Canada
3276,NFL Fever 2003,XB,2002.0,Sports,Microsoft Game Studios,0.46,0.13,0.21618316831682832,0.02,0.61,72.0,25.0,8.6,12.0,Microsoft Game Studios
3277,Samurai Warriors 2,PS2,2006.0,Action,Tecmo Koei,0.02,0.02,0.57,0.01,0.61,58.0,26.0,8.8,13.0,Omega Force
3278,Wet,PS3,2009.0,Shooter,Bethesda Softworks,0.22,0.27,0.01,0.11,0.61,70.0,61.0,6.4,55.0,Artificial Mind and Movement
3279,Cooking Mama 4: Kitchen Magic!,3DS,2011.0,Simulation,505 Games,0.5,0.07,0.21618316831682832,0.05,0.61,56.0,6.0,6.0,7.0,Cooking Mama Limited
3280,Scribblenauts: Unlimited,3DS,2012.0,Action,Warner Bros. Interactive Entertainment,0.56,0.01,0.21618316831682832,0.05,0.61,73.0,13.0,7.4,21.0,5TH Cell
3281,The Black Eyed Peas Experience,Wii,2011.0,Misc,Ubisoft,0.37,0.19,0.21618316831682832,0.06,0.61,70.84898545519842,30.43616448195367,7.212795600366628,188.21136571952337,Ubisoft Quebec
3283,Fire Emblem: Shadow Dragon,DS,2008.0,Role-Playing,Nintendo,0.29,0.02,0.27,0.03,0.61,81.0,42.0,7.0,106.0,Intelligent Systems
3284,Plants vs. Zombies: Garden Warfare,PS4,2014.0,Shooter,Electronic Arts,0.21,0.29,0.01,0.1,0.61,75.0,23.0,7.6,259.0,PopCap
3285,Metroid Prime: Trilogy,Wii,2009.0,Shooter,Nintendo,0.42,0.05,0.21618316831682832,0.14,0.61,91.0,48.0,9.3,316.0,Retro Studios
3286,Robotech: Battlecry,PS2,2002.0,Shooter,TDK Mediactive,0.3,0.23,0.21618316831682832,0.08,0.61,72.0,20.0,8.5,8.0,Vicious Cycle
3287,Dora the Explorer: Super Spies,GBA,2004.0,Platform,Gotham Games,0.44,0.16,0.21618316831682832,0.01,0.61,70.84898545519842,30.43616448195367,8.0,5.0,Cinegroupe
3288,Disney Universe,PS3,2011.0,Action,Disney Interactive Studios,0.3,0.22,0.21618316831682832,0.09,0.61,70.0,29.0,6.9,13.0,Eurocom Entertainment Software
3289,Advance Wars: Days of Ruin,DS,2011.0,Strategy,Nintendo,0.43,0.12,0.21618316831682832,0.05,0.61,86.0,55.0,8.7,96.0,Intelligent Systems
3290,Jak and Daxter: The Lost Frontier,PSP,2009.0,Platform,Sony Computer Entertainment,0.18,0.27,0.21618316831682832,0.15,0.61,71.0,47.0,6.3,28.0,High Impact Games
3291,Texas Hold 'Em Poker,GBA,2004.0,Misc,Majesco Entertainment,0.44,0.16,0.21618316831682832,0.01,0.61,49.0,7.0,6.8,6.0,Skyworks Technologies
3292,Time Crisis 3,PS2,2003.0,Shooter,Namco Bandai Games,0.3,0.23,0.21618316831682832,0.08,0.61,81.0,29.0,8.1,12.0,Namco
3293,WWE SmackDown vs. Raw 2010,PSP,2009.0,Fighting,THQ,0.25,0.22,0.21618316831682832,0.14,0.61,70.84898545519842,30.43616448195367,6.6,8.0,Yuke's
3294,Vanquish,PS3,2010.0,Shooter,Sega,0.21,0.21,0.11,0.08,0.61,84.0,61.0,8.1,304.0,PlatinumGames
3296,Tearaway,PSV,2013.0,Adventure,Sony Computer Entertainment Europe,0.14,0.34,0.21618316831682832,0.14,0.61,87.0,82.0,8.9,391.0,Media Molecule
3298,Half-Life 2,XB,2005.0,Shooter,Electronic Arts,0.37,0.21,0.21618316831682832,0.03,0.61,90.0,35.0,8.6,115.0,Valve Software
3300,Tony Hawk: RIDE,X360,2009.0,Sports,Activision,0.46,0.1,0.21618316831682832,0.05,0.61,46.0,43.0,3.0,67.0,Robomodo
3301,Borderlands: The Pre-Sequel,PS3,2014.0,Shooter,Take-Two Interactive,0.26,0.21,0.05,0.1,0.61,77.0,24.0,6.3,130.0,2K Australia
3303,Sacred 2: Fallen Angel,PS3,2009.0,Role-Playing,Deep Silver,0.22,0.22,0.08,0.09,0.61,70.0,45.0,7.1,51.0,"Ascaron Entertainment GmbH, Ascaron Entertainment"
3304,pro evolution soccer 2011,X360,2010.0,Sports,Konami Digital Entertainment,0.09,0.44,0.21618316831682832,0.07,0.61,79.0,43.0,5.9,33.0,Konami
3306,Final Fantasy IV Advance,GBA,2005.0,Role-Playing,Nintendo,0.27,0.1,0.22,0.01,0.61,85.0,30.0,7.3,70.0,TOSE
3307,Dragon Ball Z: Ultimate Tenkaichi,PS3,2011.0,Fighting,Namco Bandai Games,0.27,0.18,0.09,0.07,0.61,58.0,26.0,5.4,77.0,Spike
3308,Madden NFL 2003,GBA,2002.0,Sports,Electronic Arts,0.44,0.16,0.21618316831682832,0.01,0.61,76.0,5.0,7.212795600366628,188.21136571952337,BudCat
3311,Harry Potter and the Goblet of Fire,GBA,2005.0,Action,Electronic Arts,0.44,0.16,0.21618316831682832,0.01,0.61,71.0,9.0,6.0,8.0,Magic Pockets
3313,Dragon Ball Z: Buu's Fury,GBA,2004.0,Action,Atari,0.44,0.16,0.21618316831682832,0.01,0.61,62.0,19.0,8.9,39.0,Webfoot Technologies
3314,Madden NFL 2002,GC,2001.0,Sports,Electronic Arts,0.47,0.12,0.21618316831682832,0.02,0.61,89.0,12.0,7.212795600366628,188.21136571952337,EA Sports
3315,Spider-Man: Mysterio's Menace,GBA,2001.0,Action,Activision,0.43,0.16,0.21618316831682832,0.01,0.61,84.0,8.0,8.7,11.0,Vicarious Visions
3318,MySims Racing,DS,2009.0,Racing,Electronic Arts,0.25,0.29,0.21618316831682832,0.07,0.61,67.0,11.0,7.3,4.0,EA Games
3319,Naruto: Ultimate Ninja,PS2,2003.0,Fighting,Atari,0.5,0.02,0.21618316831682832,0.08,0.61,75.0,34.0,7.7,35.0,CyberConnect2
3320,Pac-Man Party,Wii,2010.0,Misc,Namco Bandai Games,0.47,0.08,0.01,0.04,0.61,59.0,14.0,5.9,8.0,TOSE
3322,Tony Hawk's Underground,GBA,2003.0,Sports,Activision,0.43,0.16,0.21618316831682832,0.01,0.6,86.0,9.0,7.7,9.0,Vicarious Visions
3324,Monster Trucks,GBA,2004.0,Racing,Majesco Entertainment,0.43,0.16,0.21618316831682832,0.01,0.6,70.84898545519842,30.43616448195367,7.212795600366628,188.21136571952337,Skyworks Technologies
3325,World of Zoo,Wii,2009.0,Simulation,THQ,0.4,0.15,0.21618316831682832,0.05,0.6,70.84898545519842,30.43616448195367,8.2,6.0,Blue Fang Games
3326,Shadow The Hedgehog,PS2,2005.0,Platform,Sega,0.5,0.02,0.21618316831682832,0.08,0.6,45.0,28.0,6.0,137.0,Sonic Team
3327,Wave Race: Blue Storm,GC,2001.0,Racing,Nintendo,0.4,0.1,0.09,0.02,0.6,80.0,21.0,8.3,29.0,Nintendo
3328,Aliens: Colonial Marines,PS3,2013.0,Shooter,Sega,0.2,0.29,0.21618316831682832,0.11,0.6,43.0,25.0,3.6,295.0,Gearbox Software
3329,Backyard Wrestling: Don't Try This at Home,PS2,2003.0,Fighting,Eidos Interactive,0.3,0.23,0.21618316831682832,0.08,0.6,51.0,24.0,7.8,29.0,Paradox Development
3330,Yakuza: Dead Souls,PS3,2011.0,Shooter,Sega,0.09,0.06,0.42,0.03,0.6,64.0,55.0,7.4,69.0,Ryu ga Gotoku Studios
3331,Fight Night Round 2,XB,2005.0,Fighting,Electronic Arts,0.42,0.16,0.21618316831682832,0.02,0.6,88.0,48.0,8.8,27.0,EA Sports
3333,Dead Island: Riptide,PS3,2013.0,Action,Deep Silver,0.26,0.19,0.07,0.09,0.6,62.0,25.0,5.9,140.0,Techland
3334,Just Dance 2015,X360,2014.0,Misc,Ubisoft,0.42,0.13,0.21618316831682832,0.06,0.6,70.84898545519842,30.43616448195367,8.3,6.0,Ubisoft
3335,Kinect Sports Rivals,XOne,2014.0,Sports,Microsoft Game Studios,0.3,0.23,0.02,0.05,0.6,60.0,53.0,5.1,144.0,Microsoft Game Studios
3336,NBA 2K8,PS2,2007.0,Sports,Take-Two Interactive,0.5,0.02,0.21618316831682832,0.08,0.6,72.0,7.0,6.0,9.0,Visual Concepts
3337,Dynasty Warriors 8,PS3,2013.0,Action,Tecmo Koei,0.12,0.1,0.34,0.05,0.6,68.0,26.0,8.5,75.0,Omega Force
3339,Disney Infinity,WiiU,2013.0,Action,Disney Interactive Studios,0.33,0.22,0.21618316831682832,0.05,0.6,71.0,10.0,7.6,58.0,Avalanche Software
3340,Secret Agent Clank,PS2,2009.0,Platform,Sony Computer Entertainment,0.13,0.18,0.21618316831682832,0.29,0.6,61.0,9.0,6.7,14.0,Sanzaru Games
3341,Call of Juarez: Bound in Blood,X360,2009.0,Shooter,Ubisoft,0.3,0.24,0.21618316831682832,0.06,0.6,77.0,77.0,7.6,94.0,Techland
3342,Fighters Uncaged,X360,2010.0,Fighting,Ubisoft,0.31,0.23,0.21618316831682832,0.06,0.6,32.0,38.0,4.6,23.0,Ubisoft
3343,Rayman Arena,PS2,2001.0,Racing,Ubisoft,0.29,0.23,0.21618316831682832,0.08,0.6,63.0,10.0,8.6,8.0,Ubisoft
3344,Jaws Unleashed,PS2,2006.0,Action,THQ,0.5,0.02,0.21618316831682832,0.08,0.6,52.0,29.0,7.5,39.0,Appaloosa Interactive
3346,Half-Life,PS2,2001.0,Shooter,Vivendi Games,0.29,0.23,0.21618316831682832,0.08,0.6,87.0,24.0,8.6,94.0,Gearbox Software
3349,NASCAR Heat 2002,PS2,2001.0,Racing,Infogrames,0.29,0.23,0.21618316831682832,0.08,0.6,81.0,14.0,7.212795600366628,188.21136571952337,Monster Games Inc.
3350,Split/Second,X360,2010.0,Racing,Disney Interactive Studios,0.32,0.23,0.21618316831682832,0.06,0.6,82.0,78.0,8.1,101.0,Black Rock Studio
3351,The Golden Compass,DS,2007.0,Action,Sega,0.28,0.25,0.21618316831682832,0.06,0.6,43.0,7.0,4.9,8.0,Artificial Mind and Movement
3352,The Golden Compass,Wii,2007.0,Action,Sega,0.26,0.28,0.21618316831682832,0.07,0.6,35.0,12.0,6.8,6.0,Shiny Entertainment
3356,Muramasa: The Demon Blade,Wii,2009.0,Role-Playing,Rising Star Games,0.32,0.12,0.11,0.04,0.6,81.0,58.0,8.7,101.0,Vanillaware
3360,Littlest Pet Shop: Garden,DS,2008.0,Simulation,Electronic Arts,0.31,0.23,0.21618316831682832,0.06,0.6,70.84898545519842,30.43616448195367,7.212795600366628,188.21136571952337,Electronic Arts
3361,Okami,Wii,2008.0,Action,Capcom,0.43,0.09,0.04,0.05,0.6,90.0,44.0,8.9,236.0,Ready at Dawn
3363,LEGO The Hobbit,PS4,2014.0,Action,Warner Bros. Interactive Entertainment,0.13,0.38,0.21618316831682832,0.09,0.6,72.0,47.0,6.6,88.0,TT Games
3365,WWE 2K17,PS4,2016.0,Sports,Take-Two Interactive,0.17,0.34,0.21618316831682832,0.09,0.6,69.0,50.0,6.9,88.0,Yuke's
3366,Just Dance 2014,WiiU,2013.0,Misc,Ubisoft,0.31,0.23,0.21618316831682832,0.05,0.6,72.0,13.0,7.6,45.0,Ubisoft
3370,NHL 15,PS4,2014.0,Sports,Electronic Arts,0.31,0.19,0.21618316831682832,0.1,0.6,60.0,28.0,3.6,306.0,EA Sports
3371,Total War: Shogun 2,PC,2011.0,Strategy,Sega,0.19,0.31,0.21618316831682832,0.09,0.6,90.0,62.0,8.3,1180.0,Creative Assembly
3372,Major League Baseball 2K7,PS2,2007.0,Sports,Spike,0.29,0.23,0.21618316831682832,0.08,0.6,71.0,5.0,7.212795600366628,188.21136571952337,Kush Games
3375,Dragon Age: Inquisition,PS3,2014.0,Role-Playing,Electronic Arts,0.27,0.18,0.05,0.09,0.6,70.84898545519842,30.43616448195367,5.2,242.0,BioWare
3376,SimCity DS,DS,2007.0,Simulation,Electronic Arts,0.33,0.02,0.21,0.03,0.6,69.0,27.0,6.3,18.0,Aki Corp.
3377,New Carnival Games,Wii,2010.0,Misc,Take-Two Interactive,0.33,0.21,0.21618316831682832,0.05,0.59,70.84898545519842,30.43616448195367,7.212795600366628,188.21136571952337,Cat Daddy Games
3378,Hot Wheels: Stunt Track Challenge,PS2,2004.0,Racing,THQ,0.29,0.23,0.21618316831682832,0.08,0.59,62.0,8.0,8.1,8.0,Climax Group
3379,Littlest Pet Shop: Jungle,DS,2008.0,Simulation,Electronic Arts,0.34,0.2,0.21618316831682832,0.06,0.59,70.84898545519842,30.43616448195367,7.212795600366628,188.21136571952337,Electronic Arts
3381,FIFA 15,PSV,2014.0,Sports,Electronic Arts,0.08,0.35,0.05,0.12,0.59,70.84898545519842,30.43616448195367,3.1,42.0,EA Sports
3383,Monopoly,X360,2008.0,Misc,Electronic Arts,0.34,0.2,0.21618316831682832,0.06,0.59,56.0,9.0,5.8,17.0,EA Bright Light
3384,Tony Hawk: RIDE,PS3,2009.0,Sports,Activision,0.38,0.14,0.21618316831682832,0.07,0.59,44.0,29.0,2.1,31.0,Robomodo
3387,Medal of Honor: Frontline,GC,2002.0,Shooter,Electronic Arts,0.46,0.12,0.21618316831682832,0.02,0.59,80.0,16.0,7.9,16.0,Dreamworks Games
3389,NFL Blitz 2001,PS,2000.0,Sports,Midway Games,0.33,0.22,0.21618316831682832,0.04,0.59,70.0,6.0,7.212795600366628,188.21136571952337,Midway
3391,Rock Band 2,PS2,2008.0,Misc,MTV Games,0.29,0.23,0.21618316831682832,0.08,0.59,70.84898545519842,30.43616448195367,8.0,4.0,Harmonix Music Systems
3392,NHL 11,PS3,2010.0,Sports,Electronic Arts,0.4,0.12,0.21618316831682832,0.07,0.59,88.0,38.0,7.1,54.0,Electronic Arts
3395,2002 FIFA World Cup,PS2,2002.0,Sports,Electronic Arts,0.21,0.17,0.16,0.06,0.59,73.0,19.0,5.6,18.0,EA Sports
